edge,role,state,status,tar,job_id,job_name,comment,success,scf,stage,energy_Eh
R05E001,M,ANI,success,archive3595(1).tar,3700,R05E001_M_ANI,P05 StateFlux Round05 V4 | edge=R05E001 | LTKBID=LT00587 | compound=Minoxidil | class=dealkylation | role=M | state=ANI | source=existing_xTB | smiles=Nc1cc(NCCCCC=O)nc(N)[n+]1[O-],True,8,0,-776.01464237
R05E004,P,CAT,success,archive3595(1).tar,3659,R05E004_P_CAT,P05 StateFlux Round05 V4 | edge=R05E004 | LTKBID=LT02055 | compound=Pamabrom | class=dealkylation | role=P | state=CAT | source=existing_xTB | smiles=Cn1c(=O)c2[nH]c(Br)nc2n(C)c1=O,True,8,0,-3213.97130575
R05E004,P,N,success,archive3595(1).tar,3602,R05E004_P_N,P05 StateFlux Round05 V4 | edge=R05E004 | LTKBID=LT02055 | compound=Pamabrom | class=dealkylation | role=P | state=N | source=existing_xTB | smiles=Cn1c(=O)c2[nH]c(Br)nc2n(C)c1=O,True,8,0,-3214.20468458
R05E005,M,ANI,success,archive3595(1).tar,3708,R05E005_M_ANI,P05 StateFlux Round05 V4 | edge=R05E005 | LTKBID=LT02085 | compound=Orphenadrine hydrochloride | class=dealkylation | role=M | state=ANI | source=existing_xTB | smiles=Cc1ccccc1C(=O)c1ccccc1,True,8,0,-615.83931217
R05E005,M,CAT,success,archive3595(1).tar,3660,R05E005_M_CAT,P05 StateFlux Round05 V4 | edge=R05E005 | LTKBID=LT02085 | compound=Orphenadrine hydrochloride | class=dealkylation | role=M | state=CAT | source=existing_xTB | smiles=Cc1ccccc1C(=O)c1ccccc1,True,8,0,-615.50988541
R05E005,M,N,success,archive3595(1).tar,3603,R05E005_M_N,P05 StateFlux Round05 V4 | edge=R05E005 | LTKBID=LT02085 | compound=Orphenadrine hydrochloride | class=dealkylation | role=M | state=N | source=existing_xTB | smiles=Cc1ccccc1C(=O)c1ccccc1,True,8,0,-615.75626278
R05E005,P,ANI,success,archive3595(1).tar,3709,R05E005_P_ANI,P05 StateFlux Round05 V4 | edge=R05E005 | LTKBID=LT02085 | compound=Orphenadrine hydrochloride | class=dealkylation | role=P | state=ANI | source=existing_xTB | smiles=Cc1ccccc1C(OCCN(C)C)c1ccccc1,True,8,0,-829.50409409
R05E005,P,CAT,success,archive3595(1).tar,3661,R05E005_P_CAT,P05 StateFlux Round05 V4 | edge=R05E005 | LTKBID=LT02085 | compound=Orphenadrine hydrochloride | class=dealkylation | role=P | state=CAT | source=existing_xTB | smiles=Cc1ccccc1C(OCCN(C)C)c1ccccc1,True,8,0,-829.26833204
R05E005,P,N,success,archive3595(1).tar,3604,R05E005_M_N,P05 StateFlux Round05 V4 | edge=R05E005 | LTKBID=LT02085 | compound=Orphenadrine hydrochloride | class=dealkylation | role=P | state=N | source=existing_xTB | smiles=Cc1ccccc1C(OCCN(C)C)c1ccccc1,True,8,0,-829.48196191
R05E006,M,ANI,success,archive3757 (1).tar,3757,R05E022_M_CAT_RESCUE1,P05 StateFlux Round05 V4 RESCUE1 | edge=R05E006 | LTKBID=LT00152 | compound=Tamoxifen citrate | class=dealkylation | role=M | state=ANI | source=existing_xTB | smiles=CC/C(=C(\c1ccccc1)c1ccc(OCC=O)cc1)c1ccccc1,True,8,1,-1077.93622159
R05E006,M,CAT,success,archive3595(1).tar,3662,R05E006_M_CAT,P05 StateFlux Round05 V4 | edge=R05E006 | LTKBID=LT00152 | compound=Tamoxifen citrate | class=dealkylation | role=M | state=CAT | source=existing_xTB | smiles=CC/C(=C(\c1ccccc1)c1ccc(OCC=O)cc1)c1ccccc1,True,8,0,-1077.6917373
R05E006,M,N,success,archive3595(1).tar,3605,R05E005_P_N,P05 StateFlux Round05 V4 | edge=R05E006 | LTKBID=LT00152 | compound=Tamoxifen citrate | class=dealkylation | role=M | state=N | source=existing_xTB | smiles=CC/C(=C(\c1ccccc1)c1ccc(OCC=O)cc1)c1ccccc1,True,8,0,-1077.89617585
R05E006,P,ANI,success,archive3757 (1).tar,3758,R05E024_M_CAT_RESCUE1,P05 StateFlux Round05 V4 RESCUE1 | edge=R05E006 | LTKBID=LT00152 | compound=Tamoxifen citrate | class=dealkylation | role=P | state=ANI | source=existing_xTB | smiles=CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,True,8,1,-1137.88255281
R05E006,P,CAT,success,archive3595(1).tar,3663,R05E006_P_CAT,P05 StateFlux Round05 V4 | edge=R05E006 | LTKBID=LT00152 | compound=Tamoxifen citrate | class=dealkylation | role=P | state=CAT | source=existing_xTB | smiles=CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,True,8,0,-1137.6400626
R05E006,P,N,success,archive3595(1).tar,3606,R05E006_M_N,P05 StateFlux Round05 V4 | edge=R05E006 | LTKBID=LT00152 | compound=Tamoxifen citrate | class=dealkylation | role=P | state=N | source=existing_xTB | smiles=CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,True,8,0,-1137.84254952
