n,positives,negatives,auroc,auprc,balanced_accuracy,accuracy,precision,sensitivity,specificity,f1,mcc,brier,tp,tn,fp,fn,model,repeat,fold
76,31,45,0.8043010752688171,0.7354222257039914,0.7437275985663083,0.75,0.6875,0.7096774193548387,0.7777777777777778,0.6984126984126984,0.485199652885942,0.17659826289784938,22,35,10,9,ECFP_StateFluxCore,3,3
74,31,43,0.837959489872468,0.7158447726346422,0.754688672168042,0.7567567567567568,0.696969696969697,0.7419354838709677,0.7674418604651163,0.71875,0.5055985284702472,0.1702678782906043,23,33,10,8,ECFP,3,4
74,31,43,0.8289572393098276,0.7063461831193408,0.768192048012003,0.7567567567567568,0.6666666666666666,0.8387096774193549,0.6976744186046512,0.7428571428571429,0.5300595229946694,0.17615370520776963,26,30,13,5,ECFP_StateCore,3,4
74,31,43,0.8094523630907726,0.7096022819046047,0.7475618904726181,0.7432432432432432,0.6666666666666666,0.7741935483870968,0.7209302325581395,0.7164179104477612,0.48874892158527766,0.1825237181824811,24,31,12,7,ECFP_FluxCore,3,4
74,31,43,0.805701425356339,0.71227343616281,0.7475618904726181,0.7432432432432432,0.6666666666666666,0.7741935483870968,0.7209302325581395,0.7164179104477612,0.48874892158527766,0.1848015531144581,24,31,12,7,ECFP_StateFluxCore,3,4
76,32,44,0.7890625,0.7966620644564825,0.6818181818181819,0.6710526315789473,0.5853658536585366,0.75,0.6136363636363636,0.6575342465753424,0.36019914950538534,0.19684353254821627,24,27,17,8,ECFP,4,0
76,32,44,0.7869318181818181,0.784971248883166,0.6335227272727273,0.6052631578947368,0.52,0.8125,0.45454545454545453,0.6341463414634146,0.27791682611486884,0.20749688932012508,26,20,24,6,ECFP_StateCore,4,0
76,32,44,0.7585227272727273,0.766815284015444,0.6065340909090909,0.5789473684210527,0.5,0.78125,0.4318181818181818,0.6097560975609756,0.22174214849590598,0.22142517547864657,25,19,25,7,ECFP_FluxCore,4,0
76,32,44,0.7485795454545454,0.7633754744686214,0.640625,0.618421052631579,0.5319148936170213,0.78125,0.5,0.6329113924050633,0.2858550905534209,0.218558363423563,25,22,22,7,ECFP_StateFluxCore,4,0
76,31,45,0.810752688172043,0.7546441632355807,0.6802867383512545,0.7105263157894737,0.6956521739130435,0.5161290322580645,0.8444444444444444,0.5925925925925926,0.3857261019733162,0.17384954618348814,16,38,7,15,ECFP,4,1
76,31,45,0.8114695340501792,0.7646122969518572,0.7164874551971325,0.7236842105263158,0.65625,0.6774193548387096,0.7555555555555555,0.6666666666666666,0.430971456386925,0.17517778618600754,21,34,11,10,ECFP_StateCore,4,1
76,31,45,0.8028673835125448,0.7620687237882713,0.7053763440860215,0.7105263157894737,0.6363636363636364,0.6774193548387096,0.7333333333333333,0.65625,0.40726427945629795,0.17798394661132277,21,33,12,10,ECFP_FluxCore,4,1
76,31,45,0.8050179211469534,0.7705309813406491,0.700358422939068,0.7105263157894737,0.6451612903225806,0.6451612903225806,0.7555555555555555,0.6451612903225806,0.4007168458781362,0.17447257223025042,20,34,11,11,ECFP_StateFluxCore,4,1
76,31,45,0.7763440860215054,0.7018266371451741,0.7275985663082437,0.7368421052631579,0.6774193548387096,0.6774193548387096,0.7777777777777778,0.6774193548387096,0.4551971326164875,0.19256363060767928,21,35,10,10,ECFP,4,2
76,31,45,0.7333333333333333,0.650456908997439,0.6659498207885305,0.6578947368421053,0.5641025641025641,0.7096774193548387,0.6222222222222222,0.6285714285714286,0.32633279576203766,0.21668015913806676,22,28,17,9,ECFP_StateCore,4,2
76,31,45,0.76415770609319,0.7015831460822755,0.6609318996415771,0.6578947368421053,0.5675675675675675,0.6774193548387096,0.6444444444444445,0.6176470588235294,0.31646528141934105,0.20419829569713657,21,29,16,10,ECFP_FluxCore,4,2
76,31,45,0.7232974910394265,0.6487094229936781,0.6770609318996417,0.6710526315789473,0.5789473684210527,0.7096774193548387,0.6444444444444445,0.6376811594202898,0.3480617091910828,0.21981012589656618,22,29,16,9,ECFP_StateFluxCore,4,2
74,31,43,0.8867216804201051,0.8359317868246243,0.8102025506376593,0.8108108108108109,0.7575757575757576,0.8064516129032258,0.813953488372093,0.78125,0.6158026259865897,0.15024665233574389,25,35,8,6,ECFP,4,3
74,31,43,0.91072768192048,0.8685785300953177,0.8192048012003001,0.8108108108108109,0.7297297297297297,0.8709677419354839,0.7674418604651163,0.7941176470588235,0.6299596910144932,0.15373202420606372,27,33,10,4,ECFP_StateCore,4,3
74,31,43,0.8852213053263316,0.8473515293244815,0.754688672168042,0.7567567567567568,0.696969696969697,0.7419354838709677,0.7674418604651163,0.71875,0.5055985284702472,0.16143209429383926,23,33,10,8,ECFP_FluxCore,4,3
74,31,43,0.8942235558889723,0.8493707786919424,0.805701425356339,0.8108108108108109,0.7741935483870968,0.7741935483870968,0.8372093023255814,0.7741935483870968,0.6114028507126782,0.15697646876235216,24,36,7,7,ECFP_StateFluxCore,4,3
74,31,43,0.7944486121530383,0.7694160147067332,0.7153038259564891,0.7162162162162162,0.6470588235294118,0.7096774193548387,0.7209302325581395,0.676923076923077,0.4263118095586305,0.18400221884048248,22,31,12,9,ECFP,4,4
