row_id,compound,query_type,ok,query,status,error,source,CID,MolecularFormula,MolecularWeight,SMILES,ConnectivitySMILES,InChIKey,Title
LT02883,Pomalidomide,name,True,Pomalidomide,,,PubChem_name_property,134780.0,C13H11N3O4,273.24,C1CC(=O)NC(=O)C1N2C(=O)C3=C(C2=O)C(=CC=C3)N,C1CC(=O)NC(=O)C1N2C(=O)C3=C(C2=O)C(=CC=C3)N,UVSMNLNDYGZFPF-UHFFFAOYSA-N,Pomalidomide
LT02434,Ponatinib hydrochloride,name,True,Ponatinib hydrochloride,,,PubChem_name_property,46908927.0,C29H28ClF3N6O,569.0,CC1=C(C=C(C=C1)C(=O)NC2=CC(=C(C=C2)CN3CCN(CC3)C)C(F)(F)F)C#CC4=CN=C5N4N=CC=C5.Cl,CC1=C(C=C(C=C1)C(=O)NC2=CC(=C(C=C2)CN3CCN(CC3)C)C(F)(F)F)C#CC4=CN=C5N4N=CC=C5.Cl,BWTNNZPNKQIADY-UHFFFAOYSA-N,Ponatinib Hydrochloride
LT03740,Ponesimod,name,True,Ponesimod,,,PubChem_name_property,11363176.0,C23H25ClN2O4S,461.0,CCCN=C1N(C(=O)/C(=C/C2=CC(=C(C=C2)OC[C@@H](CO)O)Cl)/S1)C3=CC=CC=C3C,CCCN=C1N(C(=O)C(=CC2=CC(=C(C=C2)OCC(CO)O)Cl)S1)C3=CC=CC=C3C,LPAUOXUZGSBGDU-ULCCENQXSA-N,Ponesimod
LT00972,Porfimer sodium,name,False,Porfimer sodium,,,,,,,,,,
LT00972,Porfimer sodium,name,False,Porfimer,,,,,,,,,,
LT03741,Pralsetinib,name,True,Pralsetinib,,,PubChem_name_property,129073603.0,C27H32FN9O2,533.6,CC1=CC(=NN1)NC2=NC(=NC(=C2)C)C3CCC(CC3)(C(=O)N[C@@H](C)C4=CN=C(C=C4)N5C=C(C=N5)F)OC,CC1=CC(=NN1)NC2=NC(=NC(=C2)C)C3CCC(CC3)(C(=O)NC(C)C4=CN=C(C=C4)N5C=C(C=N5)F)OC,GBLBJPZSROAGMF-SIYOEGHHSA-N,Pralsetinib
LT00665,Prasugrel hydrochloride,CAS,True,389574-19-0,,,PubChem_name_property,10158453.0,C20H21ClFNO3S,409.9,CC(=O)OC1=CC2=C(S1)CCN(C2)C(C3=CC=CC=C3F)C(=O)C4CC4.Cl,CC(=O)OC1=CC2=C(S1)CCN(C2)C(C3=CC=CC=C3F)C(=O)C4CC4.Cl,JALHGCPDPSNJNY-UHFFFAOYSA-N,Prasugrel Hydrochloride
LT03742,Pretomanid,name,True,Pretomanid,,,PubChem_name_property,456199.0,C14H12F3N3O5,359.26,C1[C@@H](COC2=NC(=CN21)[N+](=O)[O-])OCC3=CC=C(C=C3)OC(F)(F)F,C1C(COC2=NC(=CN21)[N+](=O)[O-])OCC3=CC=C(C=C3)OC(F)(F)F,ZLHZLMOSPGACSZ-NSHDSACASA-N,Pretomanid
LT00728,Protamine sulfate,chembl_id,False,CHEMBL1201651,200.0,,,,,,,,,
LT00728,Protamine sulfate,name,False,Protamine sulfate,,,,,,,,,,
